# 移除规则数: 1557（DoH NXDOMAIN 判定）

AI/Copilot.list	DOMAIN,gateway.bingviz.microsoft.net
Proxy/Others.list	DOMAIN-SUFFIX,boslife.biz
Proxy/Others.list	DOMAIN-SUFFIX,box57.one
Proxy/Others.list	DOMAIN-SUFFIX,boylabs.net
Proxy/Others.list	DOMAIN-SUFFIX,boylove.live
Proxy/Others.list	DOMAIN-SUFFIX,breasthealthinfo.com
Proxy/Others.list	DOMAIN-SUFFIX,bs-adreview.com
Proxy/Others.list	DOMAIN-SUFFIX,bsxm1213.pro
Proxy/Others.list	DOMAIN-SUFFIX,btbit.net
Proxy/Others.list	DOMAIN-SUFFIX,btku.me
Proxy/Others.list	DOMAIN-SUFFIX,btt804.com
Proxy/Others.list	DOMAIN-SUFFIX,btt904.com
Proxy/Others.list	DOMAIN-SUFFIX,bululusexdoll.com
Proxy/Others.list	DOMAIN-SUFFIX,bygpp1207.world
Proxy/Others.list	DOMAIN-SUFFIX,byjav.me
Proxy/Others.list	DOMAIN-SUFFIX,cafr.ca
Proxy/Others.list	DOMAIN-SUFFIX,cai21.xyz
Proxy/Others.list	DOMAIN-SUFFIX,caijinglengyan.com
Proxy/Others.list	DOMAIN-SUFFIX,caime.xyz
Proxy/Others.list	DOMAIN-SUFFIX,campushp.com
Proxy/Others.list	DOMAIN-SUFFIX,camstagestudio.com
Proxy/Others.list	DOMAIN-SUFFIX,cartoonpornonly.com
Proxy/Others.list	DOMAIN-SUFFIX,cartoonville.net
Proxy/Others.list	DOMAIN-SUFFIX,catlinks.co.uk
Proxy/Others.list	DOMAIN-SUFFIX,cbm.com.mm
Proxy/Others.list	DOMAIN-SUFFIX,cc.ccemby.tk
Proxy/Others.list	DOMAIN-SUFFIX,cc.semby.ink
Proxy/Others.list	DOMAIN-SUFFIX,ccav691api.com
Proxy/Others.list	DOMAIN-SUFFIX,cdig.info
Proxy/Others.list	DOMAIN-SUFFIX,cdn.seatguru.com
Proxy/Others.list	DOMAIN-SUFFIX,cdp2006.org
Proxy/Others.list	DOMAIN-SUFFIX,cdpeu.org
Proxy/Others.list	DOMAIN-SUFFIX,chat.lmsys.org
Proxy/Others.list	DOMAIN-SUFFIX,chatgptvideo.xyz
Proxy/Others.list	DOMAIN-SUFFIX,chenguangcheng.com
Proxy/Others.list	DOMAIN-SUFFIX,cherrysave.com
Proxy/Others.list	DOMAIN-SUFFIX,chianxv.buzz
Proxy/Others.list	DOMAIN-SUFFIX,chikubank.co.jp
Proxy/Others.list	DOMAIN-SUFFIX,chinchuqi-av.lat
Proxy/Others.list	DOMAIN-SUFFIX,chinese-porn-videos.com
Proxy/Others.list	DOMAIN-SUFFIX,chinesegay.org
